日期,质量等级,当天AQI排名,PM2.5,So2,Co,O3
2021-08-01,优,30,7,8,0.58,52
2021-08-02,优,14,5,8,0.51,12
2021-08-03,优,18,5,9,0.49,41
2021-08-04,优,133,17,12,0.66,70
2021-08-05,优,257,21,9,0.76,94
2021-08-06,优,129,15,10,0.63,74
2021-08-07,良,302,31,11,0.82,57
2021-08-08,良,318,35,13,0.86,58
2021-08-09,优,77,7,12,0.40,38
2021-08-10,优,31,5,11,0.37,33
2021-08-11,优,92,9,10,0.41,34
2021-08-12,优,38,7,10,0.41,24
2021-08-13,优,44,6,9,0.40,27
2021-08-14,优,227,12,10,0.48,26
2021-08-15,优,309,17,13,0.57,41
2021-08-16,良,318,20,14,0.64,45
2021-08-17,优,317,17,12,0.56,48
2021-08-18,优,316,17,13,0.58,49
2021-08-19,优,227,15,14,0.59,64
2021-08-20,优,195,14,11,0.53,66
2021-08-21,优,73,11,10,0.53,41
2021-08-22,优,79,5,8,0.51,70
2021-08-23,优,239,18,10,0.73,65
2021-08-24,优,153,13,10,0.62,64
2021-08-25,优,57,7,10,0.55,58
2021-08-26,优,109,8,10,0.49,74
2021-08-27,优,61,7,10,0.42,57
2021-08-28,优,8,6,13,0.42,34
2021-08-29,优,56,5,11,0.44,34
2021-08-30,优,57,5,9,0.48,30
2021-08-31,良,336,16,15,0.69,32
日期,质量等级,当天AQI排名,PM2.5,So2,Co,O3
2021-08-01,优,30,7,8,0.58,52
2021-08-02,优,14,5,8,0.51,12
2021-08-03,优,18,5,9,0.49,41
2021-08-04,优,133,17,12,0.66,70
2021-08-05,优,257,21,9,0.76,94
2021-08-06,优,129,15,10,0.63,74
2021-08-07,良,302,31,11,0.82,57
2021-08-08,良,318,35,13,0.86,58
2021-08-09,优,77,7,12,0.40,38
2021-08-10,优,31,5,11,0.37,33
2021-08-11,优,92,9,10,0.41,34
2021-08-12,优,38,7,10,0.41,24
2021-08-13,优,44,6,9,0.40,27
2021-08-14,优,227,12,10,0.48,26
2021-08-15,优,309,17,13,0.57,41
2021-08-16,良,318,20,14,0.64,45
2021-08-17,优,317,17,12,0.56,48
2021-08-18,优,316,17,13,0.58,49
2021-08-19,优,227,15,14,0.59,64
2021-08-20,优,195,14,11,0.53,66
2021-08-21,优,73,11,10,0.53,41
2021-08-22,优,79,5,8,0.51,70
2021-08-23,优,239,18,10,0.73,65
2021-08-24,优,153,13,10,0.62,64
2021-08-25,优,57,7,10,0.55,58
2021-08-26,优,109,8,10,0.49,74
2021-08-27,优,61,7,10,0.42,57
2021-08-28,优,8,6,13,0.42,34
2021-08-29,优,56,5,11,0.44,34
2021-08-30,优,57,5,9,0.48,30
2021-08-31,良,336,16,15,0.69,32
